Startdatum,Artnamn,Lokalnamn,Privat kommentar
2023-05-06,Rödvingetrast,Säbysjön,
2023-05-18,Småsnäppa,"Johannisbergs våtmark, Västerås ",
2023-05-18,Smålom,Skinnskatteberg ,
2023-05-20,Lärkfalk,Knuthöjdsmossen,
2024-08-31,Gök,Torö,
2023-06-10,Göktyta,Uskavi,"Hört, inte sett"
2023-07-20,Grönsångare,Siggebohyttan,
2023-07-07,Bergand,"Tjulträsk, ammarnäs",
2023-07-07,Bergfink,"Tjulträsk, ammarnäs ",
2023-07-10,Småspov,"Davtajavrrie, ammarnäs ",
2023-07-10,Lappsparv,"Davtajavrrie, ammarnäs ",
2023-07-11,Dalripa,Ammarnäs ,
2023-07-13,Morkulla,Mellan hoting och sundsvall,
2023-10-17,Mindre korsnäbb,Uskavi,
2023-07-14,Större korsnäbb,"Åstön, sunsdsvall",
2023-07-15,Svärta,"Åstön, Sundsvall ",
2023-07-26,Kustpipare,"Boholmen, ledskär",
2023-12-05,Pilgrimsfalk,Landsberga (gårdsbutiken),Osäker obs
2024-02-02,Kungsörn,Rydaslätten. Enköping ,
2024-02-20,Jaktfalk,"Lövstaslätten, Uppsala ",
2024-04-14,Skärfläcka,"Beijershamn, öland",
2024-04-15,Alfågel,Ottenby fågelstation,
2024-04-15,Stenskvätta,Ottenby fågelstation,
2024-04-15,Röd glada,Ottenby,
2024-04-15,Skärsnäppa,Ottenby fågelstation ,
2024-04-16,Gråhakedopping,"Albrynna kalkbrott, öland",
2024-04-16,Roskarl,Ölands södra udde,
2024-04-17,Tobisgrissla,Ölands södra udde,
2024-04-25,Stäpphök,"Asköviken, Västerås ",
2024-05-30,Busksångare,Barkarby,"Hört, inte sett"
2024-06-04,Törnsångare,Siggeboda,
2024-06-15,Backsvala,Vombs ängar,
2024-06-15,Styltlöpare,Vombs ängar,
2024-06-16,Biätare,"Maglarps sandtag, Trelleborg ",
2024-06-17,Kentsk tärna,"Utvälinge, Ängelholm ",
2024-06-19,Trädpiplärka,"Traneröds mosse, söderåsen",
